0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7~6 | [EG5] Slope Time                                     | 00~63        | 0~99               |11/12| 14|  0|  1|  2|
|  205 | 4~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~5 | [EG5] Release Time                                   | 00~63        | 0~99               |11/12| 14|  0|  1|  3|
|  206 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Attack Time EG Curve                           | 00~0A        | 0~10               |11/12| 14|  0|  2|  0|
|  207 | 3~0 | [EG5] Decay Time EG Curve                            | 00~0A        | 0~10               |11/12| 14|  0|  2|  1|
|      | 7~4 | [EG5] Slope Time EG Curve                            | 00~0A        | 0~10               |11/12| 14|  0|  2|  2|
|  208 | 3~0 | [EG5] Release Time EG Curve                          | 00~0A        | 0~10               |11/12| 14|  0|  2|  3|
|      | 7~4 | [EG5] Level Mod.Source                               | 00~34        | Off~Tempo          |11/12| 14|  0|  3|  0|
|  209 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Level Mod.Intensity To Start Level             | 9D~63        | -99~+99            |11/12| 14|  0|  4|  0|
|  210 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Level Mod.Intensity To Attack Level            | 9D~63        | -99~+99            |11/12| 14|  0|  4|  1|
|  211 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Level Mod.Intensity To Break Level             | 9D~63        | -99~+99            |11/12| 14|  0|  4|  2|
|  212 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5]                                                | 00(fixed)    | 0                  |11/12| 14|  0|  5|  0|
|  213 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5]                                                | 00(fixed)    | 0                  |11/12| 14|  0|  6|  0|
|  214 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5]                                                | 00(fixed)    | 0                  |11/12| 14|  0|  6|  1|
|  215 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5]                                                | 00(fixed)    | 0                  |11/12| 14|  0|  6|  2|
|  216 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.1 Source                              | 00~34        | Off~Tempo          |11/12| 14|  0|  7|  0|
|  217 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.1 Intensity To Attack Time            | 9D~63        | -99~+99            |11/12| 14|  0|  8|  0|
|  218 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.1 Intensity To Decay Time             | 9D~63        | -99~+99            |11/12| 14|  0|  8|  1|
|  219 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.1 Intensity To Slope Time             | 9D~63        | -99~+99            |11/12| 14|  0|  8|  2|
|  220 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.1 Intensity To Release Time           | 9D~63        | -99~+99            |11/12| 14|  0|  8|  3|
|  221 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.2 Source                              | 00~34        | Off~Tempo          |11/12| 14|  0|  9|  0|
|  222 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.2 Intensity To Attack Time            | 9D~63        | -99~+99            |11/12| 14|  0| 10|  0|
|  223 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.2 Intensity To Decay Time             | 9D~63        | -99~+99            |11/12| 14|  0| 10|  1|
|  224 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.2 Intensity To Slope Time             | 9D~63        | -99~+99            |11/12| 14|  0| 10|  2|
|  225 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.2 Intensity To Release Time           | 9D~63        | -99~+99            |11/12| 14|  0| 10|  3|
|  226 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.3 Source                              | 00~34        | Off~Tempo          |11/12| 14|  0| 11|  0|
|  227 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.3 Intensity To Attack Time            | 9D~63        | -99~+99            |11/12| 14|  0| 12|  0|
|  228 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.3 Intensity To Decay Time             | 9D~63        | -99~+99            |11/12| 14|  0| 12|  1|
|  229 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.3 Intensity To Slope Time             | 9D~63        | -99~+99            |11/12| 14|  0| 12|  2|
|  230 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Time Mod.3 Intensity To Release Time           | 9D~63        | -99~+99            |11/12| 14|  0| 12|  3|
|  231 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG5] Reset Source                                   | 00~34        | Off~Tempo          |11/12| 14|  0| 13|  0|
