0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7~4 | [EG1 (Filter)] Attack Time EG Curve                 | 00~0A        | 0~10               |11/12| 11|  0|  2|  0|
|  114 | 3~0 | [EG1 (Filter)] Decay Time EG Curve                  | 00~0A        | 0~10               |11/12| 11|  0|  2|  1|
|      | 7~4 | [EG1 (Filter)] Slope Time EG Curve                  | 00~0A        | 0~10               |11/12| 11|  0|  2|  2|
|  115 | 3~0 | [EG1 (Filter)] Release Time EG Curve                | 00~0A        | 0~10               |11/12| 11|  0|  2|  3|
|      | 7~4 | [EG1 (Filter)] Level Mod.Source                     | 00~34        | Off~Tempo          |11/12| 11|  0|  3|  0|
|  116 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Level Mod.Intensity To Start Level   | 9D~63        | -99~+99            |11/12| 11|  0|  4|  0|
|  117 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Level Mod.Intensity To Attack Level  | 9D~63        | -99~+99            |11/12| 11|  0|  4|  1|
|  118 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Level Mod.Intensity To Break Level   | 9D~63        | -99~+99            |11/12| 11|  0|  4|  2|
|  119 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)]                                      | 00(fixed)    | 0                  |11/12| 11|  0|  5|  0|
|  120 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)]                                      | 00(fixed)    | 0                  |11/12| 11|  0|  6|  0|
|  121 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)]                                      | 00(fixed)    | 0                  |11/12| 11|  0|  6|  1|
|  122 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)]                                      | 00(fixed)    | 0                  |11/12| 11|  0|  6|  2|
|  123 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.1 Source                    | 00~34        | Off~Tempo          |11/12| 11|  0|  7|  0|
|  124 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.1 Intensity To Attack Time  | 9D~63        | -99~+99            |11/12| 11|  0|  8|  0|
|  125 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.1 Intensity To Decay Time   | 9D~63        | -99~+99            |11/12| 11|  0|  8|  1|
|  126 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.1 Intensity To Slope Time   | 9D~63        | -99~+99            |11/12| 11|  0|  8|  2|
|  127 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.1 Intensity To Release Time | 9D~63        | -99~+99            |11/12| 11|  0|  8|  3|
|  128 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.2 Source                    | 00~34        | Off~Tempo          |11/12| 11|  0|  9|  0|
|  129 | 3~0 |                                                     |              |                    |     |   |   |   |   |
